               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                  42            0.038045            0.047063           0.0077444             0.84887             0.80944             0.86135             0.60034            0.037249            0.026316           0.0035026           0.0034166           0.0034166            0.069117
                  43            0.040041            0.046706            0.008254             0.87091             0.80702             0.86954              0.5941            0.037613            0.026323           0.0035104           0.0034956           0.0034956            0.068396
                  44            0.039318            0.047546           0.0077198             0.88271             0.80998             0.88285             0.62929            0.034551            0.026029           0.0034673           0.0035746           0.0035746            0.067675
                  45            0.040541            0.047624            0.007414             0.86645             0.81602             0.88185             0.59216            0.037592            0.026333           0.0034197           0.0036535           0.0036535            0.066954
                  46            0.037795            0.046208           0.0094142             0.87444             0.83005             0.88885             0.63533            0.033521            0.025835           0.0034496           0.0037324           0.0037324            0.066232
                  47            0.038303            0.045477            0.008734             0.85682             0.81419             0.87388             0.62832            0.034777            0.026248            0.003459           0.0038112           0.0038112            0.065511
                  48            0.040443            0.043465           0.0078222             0.89149             0.79935             0.88372             0.62183            0.035959            0.026118           0.0034791             0.00389             0.00389             0.06479
                  49            0.038167            0.049514           0.0073586             0.90048             0.80027             0.88343             0.62303            0.034536            0.025804           0.0034376           0.0039688           0.0039688            0.064069
                  50            0.039559            0.048341           0.0073742             0.91578             0.80258             0.89024              0.6226            0.035386            0.025798           0.0033164           0.0040475           0.0040475            0.063347
                  51            0.038663            0.042867            0.008888             0.88117             0.82246              0.8888             0.62123             0.03483             0.02552           0.0033171           0.0041261           0.0041261            0.062626
                  52            0.037539            0.046331           0.0067621             0.90744             0.81069             0.89065              0.6307            0.034359             0.02543           0.0033305           0.0042047           0.0042047            0.061905
                  53            0.040827            0.048178           0.0073041             0.87854             0.84225             0.89303              0.6285            0.033782            0.025311           0.0033314           0.0042832           0.0042832            0.061183
                  54            0.038966            0.042535           0.0078839             0.87833             0.84089             0.89112             0.61492            0.036096            0.025733           0.0033561           0.0043616           0.0043616            0.060462
                  55            0.038335            0.044951           0.0067725             0.89884             0.83284             0.89373             0.63521            0.034277            0.025758           0.0033526             0.00444             0.00444             0.05974
                  56            0.038042            0.044258           0.0077708             0.87927             0.83572             0.88815              0.6055            0.035162            0.025683           0.0034731           0.0045184           0.0045184            0.059018
                  57            0.037972            0.047283           0.0066379             0.88501             0.82713             0.88269             0.60529            0.035416            0.025119           0.0035298           0.0045967           0.0045967            0.058297
                  58            0.038509            0.044404           0.0072283             0.83519             0.84877             0.87828             0.61507            0.036132            0.024799           0.0033972           0.0046749           0.0046749            0.057575
                  59            0.038907            0.041759           0.0071169             0.89912             0.81627             0.89605             0.63157            0.035514            0.024643           0.0033174           0.0047531           0.0047531            0.056853
                  60            0.039663             0.05231           0.0074681             0.89169             0.83011             0.89461             0.62001            0.034706            0.024877           0.0033617           0.0048312           0.0048312            0.056131
                  61            0.039576            0.042618           0.0074822             0.92237              0.8143             0.90268             0.61274            0.035505             0.02493           0.0034116           0.0049092           0.0049092            0.055409
                  62             0.03959            0.044243           0.0081207             0.85989             0.85474             0.90477              0.6509            0.033429            0.024849            0.003418           0.0049872           0.0049872            0.054687
                  63            0.040329            0.041713           0.0073095              0.7623             0.86119             0.88166             0.58619            0.037748            0.025262           0.0033476           0.0050651           0.0050651            0.053965
                  64            0.045483            0.042752           0.0071417             0.88694             0.81167             0.89559             0.60661            0.035358            0.025108           0.0035172            0.005143            0.005143            0.053243
                  65            0.037591            0.042678           0.0074494             0.83331             0.81614             0.87719             0.60434            0.035024            0.024727           0.0034705           0.0052207           0.0052207            0.052521
                  66            0.039891            0.046181           0.0069504             0.87111             0.84355               0.906             0.64267            0.034269            0.024382           0.0034251           0.0052984           0.0052984            0.051798
                  67            0.038714            0.047708           0.0066747             0.88872             0.80164             0.90021             0.63702            0.034537            0.024376           0.0034416           0.0053761           0.0053761            0.051076
                  68            0.038884            0.041754           0.0066364              0.8448             0.85336             0.90024             0.58915             0.03837             0.02489           0.0034493           0.0054536           0.0054536            0.050354
                  69            0.045379            0.049967           0.0065942             0.87983             0.82875             0.89616             0.59916            0.037493            0.024696           0.0034652           0.0055311           0.0055311            0.049631
                  70            0.041957            0.046444           0.0075608             0.85682             0.86418             0.90904             0.62594             0.03576            0.024821           0.0036479           0.0056086           0.0056086            0.048909
                  71            0.038288            0.046362           0.0066802             0.87196             0.84011             0.90752             0.61993            0.033889            0.024239           0.0036258           0.0056859           0.0056859            0.048186
                  72            0.039213            0.046893           0.0067897             0.92759             0.82777             0.91856             0.64054            0.034132            0.024081           0.0035655           0.0057632           0.0057632            0.047463
                  73            0.039246            0.043927           0.0076992             0.86496             0.83307             0.90515             0.60571            0.037667            0.024281           0.0035602           0.0058404           0.0058404             0.04674
                  74            0.039414            0.045915           0.0074597             0.84344             0.84644             0.89529             0.62606            0.035494            0.023932           0.0035524           0.0059175           0.0059175            0.046017
                  75            0.040418            0.049401           0.0068823             0.87144             0.83294             0.90647             0.60274            0.034913             0.02377           0.0035025           0.0059945           0.0059945            0.045295
                  76            0.040471             0.04481           0.0067736             0.88623             0.83712             0.90851             0.60955              0.0358            0.023882           0.0036647           0.0060715           0.0060715            0.044571
                  77            0.038983            0.043349            0.006828             0.90758             0.83475              0.9075             0.61799             0.03483            0.023619           0.0036277           0.0061484           0.0061484            0.043848
                  78            0.040652            0.041967           0.0067114              0.8698             0.84351             0.90699             0.59783            0.038243            0.024446           0.0036294           0.0062252           0.0062252            0.043125
