               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                  42            0.037526            0.047136            0.007749             0.88242             0.81953             0.88051             0.62106            0.035209            0.026413           0.0035199           0.0032831           0.0032831            0.068983
                  43            0.038899            0.046783           0.0082835             0.86364             0.81629             0.87982             0.59008            0.036629            0.026292           0.0035065           0.0033526           0.0033526            0.068253
                  44            0.038783            0.047519           0.0077312             0.87941             0.82277             0.88651             0.63651            0.034499            0.026049           0.0034579           0.0034215           0.0034215            0.067522
                  45             0.04037            0.047692           0.0074175             0.86089             0.81446              0.8797             0.58806            0.037146            0.026356           0.0034115             0.00349             0.00349             0.06679
                  46            0.038105            0.046286           0.0094296             0.86589             0.81832             0.87745             0.62792            0.034747            0.025835           0.0034436            0.003558            0.003558            0.066058
                  47            0.038928            0.045491             0.00875             0.89508             0.79647             0.87851             0.61927            0.034697            0.026252           0.0034323           0.0036254           0.0036254            0.065325
                  48            0.039707            0.043573           0.0078218             0.89548             0.81309             0.88993             0.62715            0.034466             0.02599           0.0034017           0.0036924           0.0036924            0.064592
                  49            0.037892             0.04946           0.0073281             0.88322             0.81727             0.88585             0.62225            0.034531            0.025852           0.0033809           0.0037588           0.0037588            0.063859
                  50            0.039181            0.048315            0.007274             0.88642             0.82301             0.88955             0.62846            0.034393            0.025617           0.0032718           0.0038246           0.0038246            0.063125
                  51            0.038229              0.0429           0.0088626             0.88324              0.8255             0.88582             0.61893            0.034411            0.025522           0.0032618           0.0038899           0.0038899             0.06239
                  52             0.03769            0.046381           0.0067377             0.89083             0.81748             0.89125             0.63712            0.034217             0.02509           0.0032343           0.0039547           0.0039547            0.061655
                  53            0.040757            0.048151           0.0072411             0.89425              0.8391             0.89544             0.63987             0.03384            0.025343            0.003317           0.0040189           0.0040189            0.060919
                  54            0.038764            0.042531           0.0078976             0.88462             0.83995             0.89583             0.62151            0.035489             0.02567           0.0033295           0.0040825           0.0040825            0.060182
                  55            0.037789            0.044916           0.0067823             0.90585             0.83439             0.90551             0.64589            0.033762            0.025573           0.0033108           0.0041455           0.0041455            0.059445
                  56            0.037998            0.044283            0.007782             0.90037             0.82484             0.90306              0.6163            0.035284            0.025606           0.0034004           0.0042079           0.0042079            0.058708
                  57            0.037864            0.047358           0.0066685             0.91123             0.82462             0.89361              0.6277            0.034419            0.025078           0.0034641           0.0042697           0.0042697             0.05797
                  58            0.038119            0.044525           0.0072765              0.8591             0.84082             0.88949              0.6205            0.035473             0.02494           0.0033851           0.0043309           0.0043309            0.057231
                  59            0.037922            0.041887           0.0071803             0.87099              0.8507              0.9106             0.64413            0.034298            0.024816           0.0033258           0.0043915           0.0043915            0.056492
                  60            0.039434            0.052209           0.0074122             0.86536             0.84222             0.89161             0.61619            0.035556            0.024913           0.0033296           0.0044515           0.0044515            0.055751
                  61            0.039344            0.042552           0.0073862             0.88606             0.83829             0.90525             0.61948            0.035629             0.02496           0.0033655           0.0045108           0.0045108            0.055011
                  62            0.039643            0.044134           0.0080865             0.84752             0.81817             0.88697             0.61729            0.036555            0.024899           0.0033898           0.0045694           0.0045694            0.054269
                  63            0.040616            0.041364            0.007243             0.81933             0.86184              0.9006              0.6129            0.036376            0.025177           0.0033255           0.0046275           0.0046275            0.053527
                  64            0.042965            0.042561           0.0071225              0.8613             0.84572               0.903             0.62939            0.034248            0.025104           0.0034305           0.0046848           0.0046848            0.052785
                  65            0.037787            0.042653           0.0073612              0.8476             0.85301             0.90117              0.6218            0.036378             0.02493            0.003373           0.0047415           0.0047415            0.052042
                  66            0.043346            0.046829           0.0067722             0.83205             0.86961             0.90361             0.58013             0.03793            0.025203           0.0034015           0.0047975           0.0047975            0.051298
                  67            0.041434            0.048329             0.00678              0.8378             0.86283             0.90689             0.59457            0.035572            0.024816           0.0034939           0.0048528           0.0048528            0.050553
                  68            0.037099            0.041632           0.0068091             0.90163             0.83845             0.91033             0.63973            0.033859             0.02437           0.0034997           0.0049075           0.0049075            0.049807
                  69            0.039347            0.049252           0.0066778             0.87838             0.84607             0.90875              0.6359            0.034105            0.024027           0.0034159           0.0049614           0.0049614            0.049061
                  70            0.039287            0.045796           0.0074067             0.87458             0.86011             0.91276             0.64223            0.035017             0.02443           0.0034649           0.0050146           0.0050146            0.048315
                  71            0.037986            0.045941           0.0064015             0.89295             0.84933             0.91586             0.65868            0.033127            0.023986             0.00348           0.0050672           0.0050672            0.047567
                  72            0.039648            0.046605           0.0065699             0.89695             0.84474             0.91307             0.64473            0.034138            0.023878           0.0034796           0.0051189           0.0051189            0.046819
                  73            0.039577            0.043769           0.0075702             0.89053             0.84275              0.9161             0.64352            0.034478            0.024039           0.0034763             0.00517             0.00517             0.04607
                  74            0.037825            0.045962           0.0074056             0.88496             0.80906             0.89689             0.62252            0.035109              0.0238           0.0034061           0.0052204           0.0052204             0.04532
                  75            0.038942            0.049753           0.0068419             0.90128             0.83295             0.91069             0.65971            0.032783            0.023692           0.0034242             0.00527             0.00527             0.04457
                  76            0.038579            0.044975           0.0067315             0.90362             0.82664             0.91168              0.6358            0.034708             0.02364           0.0035241           0.0053188           0.0053188            0.043819
                  77            0.037673            0.042931           0.0067377              0.9195             0.82143             0.90668             0.63792            0.033557            0.023352           0.0034516           0.0053669           0.0053669            0.043067
                  78            0.038502            0.041737            0.006463             0.88356             0.82041             0.90322             0.61298            0.035718            0.023889           0.0034174           0.0054143           0.0054143            0.042314
                  79            0.039927            0.040411           0.0066348             0.91314             0.83684             0.91003             0.62501            0.034787            0.023887           0.0034992           0.0054609           0.0054609            0.041561
                  80            0.036677            0.039539           0.0071585             0.92426             0.82504             0.90939             0.65994            0.033389             0.02348           0.0034549           0.0055067           0.0055067            0.040807
                  81            0.038713            0.043087           0.0067721             0.87572             0.86054             0.90661                0.65            0.033706            0.023761           0.0034252           0.0055517           0.0055517            0.040052
                  82            0.038243            0.044019           0.0068639             0.91108             0.84563             0.91612             0.66108            0.032413            0.023638           0.0034398            0.005596            0.005596            0.039296
                  83            0.036548            0.043541           0.0062616             0.86299             0.85375             0.90485             0.60334             0.03685            0.023464            0.003332           0.0056395           0.0056395            0.038539
                  84            0.041752            0.042621           0.0068963             0.89234             0.85565             0.91055             0.61882            0.034873             0.02364           0.0033219           0.0056821           0.0056821            0.037782
                  85            0.038946            0.043102           0.0061108             0.88013             0.84875             0.90639             0.60553            0.036288              0.0237            0.003376            0.005724            0.005724            0.037024
                  86             0.03792            0.041662           0.0065541              0.8846             0.86924             0.91845             0.64653            0.032232            0.023126           0.0033753           0.0057651           0.0057651            0.036265
                  87             0.03651            0.049202           0.0065939             0.92234             0.84937             0.92045             0.64282            0.032273            0.023099           0.0033808           0.0058054           0.0058054            0.035505
                  88            0.038926            0.046252           0.0069534             0.92755             0.82837             0.91479             0.64199            0.033076            0.023004           0.0033832           0.0058449           0.0058449            0.034745
                  89            0.039094            0.046397           0.0065937             0.90883             0.82588             0.90849             0.60966            0.033876            0.023066           0.0033612           0.0058836           0.0058836            0.033984
                  90            0.041847            0.042548           0.0068511             0.87104             0.87422              0.9181             0.62703            0.034651            0.022982           0.0033408           0.0059214           0.0059214            0.033221
                  91            0.039773            0.045007           0.0073228             0.85931             0.87153             0.91773             0.62954            0.034229            0.022834           0.0033872           0.0059585           0.0059585            0.032458
                  92            0.039767            0.043951            0.006642             0.89116             0.84156             0.91295             0.63947              0.0335            0.022569           0.0034019           0.0059947           0.0059947            0.031695
                  93            0.038836            0.043287           0.0064648             0.88741             0.85655             0.92597             0.63276            0.033253            0.022831           0.0034509           0.0060301           0.0060301             0.03093
                  94            0.038569            0.039013           0.0067487             0.90684             0.83306             0.91423             0.62849            0.033518            0.023024           0.0035626           0.0060646           0.0060646            0.030165
                  95            0.036025             0.03838           0.0070643              0.8926              0.8444             0.92045             0.63325            0.032256             0.02297           0.0036672           0.0060983           0.0060983            0.029398
