               epoch,       train/box_loss,       train/obj_loss,       train/cls_loss,    metrics/precision,       metrics/recall,      metrics/mAP_0.5, metrics/mAP_0.5:0.95,         val/box_loss,         val/obj_loss,         val/cls_loss,                x/lr0,                x/lr1,                x/lr2, 
                   0            0.046115            0.073018            0.017379             0.73125             0.62796             0.71114             0.46942            0.040827            0.036853           0.0097795               7e-05               7e-05             0.09937
                   1            0.045077            0.066182            0.016841             0.70604             0.65633             0.72502             0.47396            0.040697            0.036657           0.0095438             0.00015             0.00015             0.09865
